iso,name,longitude,latitude,region,lendingType,incomeLevel,ugo_Assist,ugo_SocIns,ugo_Labor,ugo_Status
LKA,Sri Lanka,79.8528,6.92148,SAS,IBD,UMC,,,,
LSO,Lesotho,27.7167,-29.5208,SSF,IDX,LMC,,,,
LTU,Lithuania,25.2799,54.6896,ECS,LNX,HIC,,,,
LUX,Luxembourg,6.1296,49.61,ECS,LNX,HIC,,,,
LVA,Latvia,24.1048,56.9465,ECS,LNX,HIC,,,,
MAC,"Macao SAR, China",113.55,22.1667,EAS,LNX,HIC,,,,
MAF,St. Martin (French part),,,LCN,LNX,HIC,,,,
MAR,Morocco,-6.8704,33.9905,MEA,IBD,LMC,1.0,1.0,,4.0
MCO,Monaco,7.41891,43.7325,ECS,LNX,HIC,,,,
MDA,Moldova,28.8497,47.0167,ECS,IDB,LMC,,,,
MDG,Madagascar,45.7167,-20.4667,SSF,IDX,LIC,,,,
MDV,Maldives,73.5109,4.1742,SAS,IDX,UMC,,,,
MEX,Mexico,-99.1276,19.427,LCN,IBD,UMC,,1.0,,2.0
MHL,Marshall Islands,171.135,7.11046,EAS,IDX,UMC,,,,
MKD,North Macedonia,21.4361,42.0024,ECS,IBD,UMC,,1.0,,2.0
MLI,Mali,-7.50034,13.5667,SSF,IDX,LIC,,,,
MLT,Malta,14.5189,35.9042,MEA,LNX,HIC,,,,
MMR,Myanmar,95.9562,21.914,EAS,IDX,LMC,,,,
MNE,Montenegro,19.2595,42.4602,ECS,IBD,UMC,1.0,1.0,,4.0
MNG,Mongolia,106.937,47.9129,EAS,IDB,LMC,,,,
MNP,Northern Mariana Islands,145.765,15.1935,EAS,LNX,HIC,,,,
MOZ,Mozambique,32.5713,-25.9664,SSF,IDX,LIC,,,,
MRT,Mauritania,-15.9824,18.2367,SSF,IDX,LMC,,,,
MUS,Mauritius,57.4977,-20.1605,SSF,IBD,UMC,,,,
MWI,Malawi,33.7703,-13.9899,SSF,IDX,LIC,,,,
MYS,Malaysia,101.684,3.12433,EAS,IBD,UMC,1.0,1.0,1.0,4.0
NAM,Namibia,17.0931,-22.5648,SSF,IBD,UMC,,,,
NCL,New Caledonia,166.464,-22.2677,EAS,LNX,HIC,,,,
NER,Niger,2.1073,13.514,SSF,IDX,LIC,,,,
NGA,Nigeria,7.48906,9.05804,SSF,IDB,LMC,,,,
NIC,Nicaragua,-86.2734,12.1475,LCN,IDX,LMC,,,,
NLD,Netherlands,4.89095,52.3738,ECS,LNX,HIC,1.0,1.0,1.0,4.0
